PROPERTY_ID,TOWNSHIP,COUNTY,VALUE_AT_LAST_APPRAISAL
1,1,Eastern,192.600000
2,1,Eastern,211.100000
3,1,Eastern,224.200000
4,1,Eastern,201.300000
5,1,Eastern,163.700000
6,1,Eastern,204.900000
7,1,Eastern,207.900000
8,1,Eastern,175.200000
9,1,Eastern,181.200000
10,1,Eastern,186.000000
11,1,Eastern,221.800000
12,1,Eastern,197.900000
13,1,Eastern,190.100000
14,1,Eastern,186.800000
15,1,Eastern,205.700000
16,1,Eastern,197.200000
17,1,Eastern,184.600000
18,1,Eastern,156.000000
19,1,Eastern,208.600000
20,1,Eastern,177.000000
21,1,Eastern,201.700000
22,1,Eastern,199.900000
23,1,Eastern,197.300000
24,1,Eastern,178.100000
25,1,Eastern,234.100000
26,1,Eastern,205.300000
27,1,Eastern,205.400000
28,1,Eastern,194.900000
29,1,Eastern,208.000000
30,1,Eastern,189.800000
31,1,Eastern,220.000000
32,1,Eastern,196.400000
33,1,Eastern,205.800000
34,1,Eastern,190.100000
35,1,Eastern,185.000000
36,1,Eastern,164.800000
37,1,Eastern,237.200000
38,1,Eastern,188.000000
39,1,Eastern,226.300000
40,1,Eastern,213.500000
41,1,Eastern,214.900000
42,1,Eastern,192.300000
43,1,Eastern,197.400000
44,1,Eastern,209.200000
45,1,Eastern,205.800000
46,1,Eastern,195.400000
47,1,Eastern,212.800000
48,1,Eastern,227.500000
49,1,Eastern,156.900000
50,1,Eastern,232.900000
51,1,Eastern,173.200000
52,1,Eastern,213.500000
53,1,Eastern,227.800000
54,1,Eastern,166.800000
55,1,Eastern,195.400000
56,1,Eastern,207.600000
57,1,Eastern,197.300000
58,1,Eastern,239.700000
59,1,Eastern,211.200000
60,1,Eastern,202.600000
81,1,Eastern,171.000000
82,1,Eastern,216.800000
83,1,Eastern,220.200000
84,1,Eastern,214.400000
85,1,Eastern,147.900000
86,1,Eastern,218.900000
87,1,Eastern,238.600000
88,1,Eastern,181.200000
89,1,Eastern,194.900000
90,1,Eastern,182.700000
91,1,Eastern,194.100000
92,1,Eastern,217.500000
